,Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition
149,149,camembert,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Camembert""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""camembert"", ""erkannteZutat"": ""Camembert""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
150,150,paprikaschote frisch,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""frisch""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""70.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""paprikaschote"", ""erkannteZutat"": ""Paprikaschoten roh""}, {""ZF"": 168.0, ""ZE"": 756.0, ""ZK"": 2037.0, ""ZA"": 0.0, ""GCAL"": 13.3, ""QUALI"": 1.4210004600000001}]]}"
151,151,frühstücksspeck,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""fr\u00fchst\u00fccksspeck""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""fruhstucksspeck"", ""erkannteZutat"": ""Schwein Speck durchwachsen (Fr\u00fchst\u00fccksspeck)""}, {""ZF"": 65000.0, ""ZE"": 9100.0, ""ZK"": 852.0, ""ZA"": 0.0, ""GCAL"": 615.0, ""QUALI"": -2.5206595400000005}]]}"
152,152,gehacktes,1000 g,"{""gewicht"": 1000, ""einheit"": ""g""}","{""zutat"": ""Hack"", ""eigenschaft"": ""gehackt""}",1000.0,g,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""g"", ""bezeichnung"": ""gehacktes"", ""erkannteZutat"": ""Schwein/Rind Hackfleisch roh""}, {""ZF"": 176360.0, ""ZE"": 188760.0, ""ZK"": 360.0, ""ZA"": 0.0, ""GCAL"": 2330.0, ""QUALI"": 2.76113046}]]}"
153,153,spinat,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Spinat""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""spinat"", ""erkannteZutat"": ""Spinat roh""}, {""ZF"": 1500.0, ""ZE"": 14070.0, ""ZK"": 3050.0, ""ZA"": 0.0, ""GCAL"": 95.0, ""QUALI"": 1.25457046}]]}"
154,154,sahne,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.15,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
155,155,reibekäse,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Reibek\u00e4se""}",50.0,g,
156,156,zwiebel gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gehackt""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}"
157,157,paprika,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.7765804600000002}]]}"
158,158,bauerngurken,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bauergurke"", ""eigenschaft"": ""St\u00fcck""}",2.0,stk,
159,159,tomaten frisch,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",4.0,stk,"{""detailed_info"": [[{""menge"": ""240.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""tomaten"", ""erkannteZutat"": ""Tomaten""}, {""ZF"": 504.0, ""ZE"": 2280.0, ""ZK"": 6240.0, ""ZA"": 0.0, ""GCAL"": 40.8, ""QUALI"": 99999.0}]]}"
160,160,apfelessig,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Apfel""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""apfelessig"", ""erkannteZutat"": ""Apfelessig""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
161,161,olivenöl extra vergine,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.05g"", ""einheit"": ""l"", ""bezeichnung"": ""olivenol extra vergine"", ""erkannteZutat"": ""Oliven\u00f6l""}, {""ZF"": 50.0, ""ZE"": 0.0, ""ZK"": 0.1, ""ZA"": 0.0, ""GCAL"": 0.442, ""QUALI"": 1.07093046}]]}"
162,162,blätterteig rolle,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Bl\u00e4tterteig"", ""eigenschaft"": ""gerollt""}",300.0,g,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""g"", ""bezeichnung"": ""blatterteig rolle"", ""erkannteZutat"": ""Bl\u00e4tterteig roh""}, {""ZF"": 97131.0, ""ZE"": 12357.0, ""ZK"": 86466.0, ""ZA"": 0.0, ""GCAL"": 1260.0, ""QUALI"": 1.4018004600000005}]]}"
163,163,zwiebel frisch,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1000.0,g,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""g"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 2500.0, ""ZE"": 11770.0, ""ZK"": 49210.0, ""ZA"": 0.0, ""GCAL"": 280.0, ""QUALI"": 99999.0}]]}"
164,164,katenschinken feingewürfelt,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""fein gew\u00fcrfelt""}",150.0,g,
165,165,butterschmalz,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Butterschmalz""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""butterschmalz"", ""erkannteZutat"": ""Butterschmalz""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
166,166,schmand,2 becher,"{""anzahl"": 2, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}",0.5,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""schmand"", ""erkannteZutat"": ""Creme/Schmand""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.8597204600000001}]]}"
167,167,saure sahne     fett,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",0.25,l,"{""detailed_info"": [[{""menge"": ""1.25g"", ""einheit"": ""l"", ""bezeichnung"": ""fett"", ""erkannteZutat"": ""Bratfett (tierisches Fett)""}, {""ZF"": 1241.25, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 10.975, ""QUALI"": -0.12749953999999986}]]}"
168,168,eier,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""St\u00fcck""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""H\u00fchnerei""}, {""ZF"": 9320.0, ""ZE"": 11850.0, ""ZK"": 1530.0, ""ZA"": 0.0, ""GCAL"": 137.0, ""QUALI"": 99999.0}]]}"
169,169,speisestärke,2 el (gestrichen),"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Speisest\u00e4rke"", ""eigenschaft"": ""gestrichen""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""speisestarke"", ""erkannteZutat"": ""St\u00e4rke""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
170,170,milch,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}",0.1,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""milch"", ""erkannteZutat"": ""Kuhmilch""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
171,171,karotten in scheibengeschnitten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""in Scheiben geschnitten""}",4.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""karotten in scheibengeschnitten"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.39260045999999993}]]}"
172,172,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",0.5,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
173,173,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
174,174,zucchini,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}",3.0,stk,"{""detailed_info"": [[{""menge"": ""525.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zucchini"", ""erkannteZutat"": ""Zucchini roh""}, {""ZF"": 1506.75, ""ZE"": 10657.5, ""ZK"": 11838.75, ""ZA"": 0.0, ""GCAL"": 110.25, ""QUALI"": 1.3953504600000002}]]}"
175,175,zwiebel rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}"
176,176,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",0.5,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
177,177,garnelen frisch groß,2 päckchen,"{""anzahl"": 2, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Garnele"", ""eigenschaft"": ""gro\u00df""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""36.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""garnelen"", ""erkannteZutat"": ""Garnele roh""}, {""ZF"": 518.04, ""ZE"": 6696.0, ""ZK"": 327.6, ""ZA"": 0.0, ""GCAL"": 33.12, ""QUALI"": 1.52159046}]]}"
178,178,brötchen-weizenbrötchen,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Br\u00f6tchen"", ""eigenschaft"": ""Weizen""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""120.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""brotchen-weizenbrotchen"", ""erkannteZutat"": ""Br\u00f6tchen""}, {""ZF"": 2172.0, ""ZE"": 12108.0, ""ZK"": 67032.0, ""ZA"": 0.0, ""GCAL"": 340.8, ""QUALI"": 0.87896046}]]}"
179,179,zwiebel frisch,70 g,"{""gewicht"": 70, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",70.0,g,"{""detailed_info"": [[{""menge"": ""70.0g"", ""einheit"": ""g"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 175.0, ""ZE"": 823.9, ""ZK"": 3444.7, ""ZA"": 0.0, ""GCAL"": 19.6, ""QUALI"": 99999.0}]]}"
180,180,essiggurken,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Essiggurke""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""essiggurken"", ""erkannteZutat"": ""Gew\u00fcrzgurken Sauerkonserve gekocht""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 2.1586904600000008}]]}"
181,181,bratwurstbrät,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Bratwurstbr\u00e4t""}",200.0,g,
182,182,ei,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""H\u00fchnerei""}, {""ZF"": 4660.0, ""ZE"": 5925.0, ""ZK"": 765.0, ""ZA"": 0.0, ""GCAL"": 68.5, ""QUALI"": 99999.0}]]}"
183,183,saure sahne     fett,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.15g"", ""einheit"": ""l"", ""bezeichnung"": ""fett"", ""erkannteZutat"": ""Bratfett (tierisches Fett)""}, {""ZF"": 148.95, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 1.317, ""QUALI"": -0.12749953999999986}]]}"
184,184,gouda mittelalt     scheibenohne rinde,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Gouda"", ""eigenschaft"": ""ohne Rinde""}",60.0,g,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""g"", ""bezeichnung"": ""gouda mittelalt scheibenohne rinde"", ""erkannteZutat"": ""Gouda""}, {""ZF"": 18477.0, ""ZE"": 13116.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 218.4, ""QUALI"": 1.44842046}]]}"
185,185,tomaten frisch,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",4.0,stk,"{""detailed_info"": [[{""menge"": ""240.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""tomaten"", ""erkannteZutat"": ""Tomaten""}, {""ZF"": 504.0, ""ZE"": 2280.0, ""ZK"": 6240.0, ""ZA"": 0.0, ""GCAL"": 40.8, ""QUALI"": 99999.0}]]}"
186,186,couscous,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Couscous""}",80.0,g,"{""detailed_info"": [[{""menge"": ""80.0g"", ""einheit"": ""g"", ""bezeichnung"": ""couscous"", ""erkannteZutat"": ""Couscous roh""}, {""ZF"": 1360.0, ""ZE"": 9352.0, ""ZK"": 54952.0, ""ZA"": 0.0, ""GCAL"": 272.8, ""QUALI"": 1.3953504600000002}]]}"
187,187,feta gewürfelt,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Feta"", ""eigenschaft"": ""gew\u00fcrfelt""}",60.0,g,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""g"", ""bezeichnung"": ""feta gewurfelt"", ""erkannteZutat"": ""Feta""}, {""ZF"": 14454.0, ""ZE"": 9408.0, ""ZK"": 486.0, ""ZA"": 0.0, ""GCAL"": 170.4, ""QUALI"": 1.37803046}]]}"
188,188,gemüsebrühe,120 ml,"{""volumen"": 120, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}",0.12,l,"{""detailed_info"": [[{""menge"": ""0.96g"", ""einheit"": ""l"", ""bezeichnung"": ""gemusebruhe"", ""erkannteZutat"": ""Gem\u00fcsebr\u00fche gek\u00f6rnt""}, {""ZF"": 68.16, ""ZE"": 148.8, ""ZK"": 118.08, ""ZA"": 0.0, ""GCAL"": 1.6895999999999998, ""QUALI"": -0.6503895399999998}]]}"
189,189,emmentaler,2 scheibe,"{""anzahl"": 2, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Emmentaler""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""emmentaler"", ""erkannteZutat"": ""Emmentaler""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
190,190,gurke frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Gurke"", ""eigenschaft"": ""frisch""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""gurke"", ""erkannteZutat"": ""Gurke""}, {""ZF"": 1000.0, ""ZE"": 3000.0, ""ZK"": 9050.0, ""ZA"": 0.0, ""GCAL"": 60.0, ""QUALI"": 99999.0}]]}"
191,191,thunfisch salat mexikana,2 dosen,"{""anzahl"": 2, ""einheit"": ""dosen""}","{""zutat"": ""Dose"", ""eigenschaft"": ""mexikanisch""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""thunfisch salat mexikana"", ""erkannteZutat"": ""Thunfisch gegart""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.07089046}]]}"
192,192,blattspinat frisch,2 tasse,"{""anzahl"": 2, ""einheit"": ""tasse""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""frisch""}",0.5,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""blattspinat"", ""erkannteZutat"": ""Blattspinat roh""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.6065204600000003}]]}"
193,193,ei gekocht,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck"", ""zutat"": ""ei""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gekocht""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""H\u00fchnerei""}, {""ZF"": 4660.0, ""ZE"": 5925.0, ""ZK"": 765.0, ""ZA"": 0.0, ""GCAL"": 68.5, ""QUALI"": 99999.0}]]}"
194,194,katenschinken feingewürfelt oderschinkenspeck,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""feingew\u00fcrfelt""}",60.0,g,
195,195,rapsöl,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.0025,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""rapsol"", ""erkannteZutat"": ""R\u00fcb\u00f6l (Raps\u00f6l)""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.35420046000000005}]]}"
196,196,olivenöl extra vergine,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.045,l,"{""detailed_info"": [[{""menge"": ""0.2g"", ""einheit"": ""l"", ""bezeichnung"": ""olivenol extra vergine"", ""erkannteZutat"": ""Oliven\u00f6l""}, {""ZF"": 200.0, ""ZE"": 0.0, ""ZK"": 0.4, ""ZA"": 0.0, ""GCAL"": 1.768, ""QUALI"": 1.07093046}]]}"
197,197,balsamico bianco,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""balsamico"", ""erkannteZutat"": ""Balsamicoessig""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
198,198,senf mittelscharf,0.25 tl,"{""anzahl"": 0.25, ""einheit"": ""tl""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.00125,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""senf mittelscharf"", ""erkannteZutat"": ""Senf mittelscharf""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
199,199,zucker,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""Zucker""}",0.0025,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
200,200,langkornreis,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Reis"", ""eigenschaft"": ""langk\u00f6rnig""}",50.0,g,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""g"", ""bezeichnung"": ""reis"", ""erkannteZutat"": ""Reis roh""}, {""ZF"": 310.0, ""ZE"": 3680.0, ""ZK"": 38865.0, ""ZA"": 0.0, ""GCAL"": 175.5, ""QUALI"": 1.11379046}]]}"
201,201,gemüsebrühe,125 ml,"{""volumen"": 125, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}",0.125,l,"{""detailed_info"": [[{""menge"": ""0.96g"", ""einheit"": ""l"", ""bezeichnung"": ""gemusebruhe"", ""erkannteZutat"": ""Gem\u00fcsebr\u00fche gek\u00f6rnt""}, {""ZF"": 68.16, ""ZE"": 148.8, ""ZK"": 118.08, ""ZA"": 0.0, ""GCAL"": 1.6895999999999998, ""QUALI"": -0.6503895399999998}]]}"
202,202,karotte gelb,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gelb""}",30.0,g,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""g"", ""bezeichnung"": ""karotte"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 22.8, ""ZE"": 94.5, ""ZK"": 712.5, ""ZA"": 0.0, ""GCAL"": 3.6, ""QUALI"": -0.19605954000000003}]]}"
203,203,frühlingszwiebel - dasgrüne,20 g,"{""gewicht"": 20, ""einheit"": ""g""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}",20.0,g,"{""detailed_info"": [[{""menge"": ""20.0g"", ""einheit"": ""g"", ""bezeichnung"": ""fruhlingszwiebel"", ""erkannteZutat"": ""Lauchzwiebel roh""}, {""ZF"": 60.0, ""ZE"": 180.0, ""ZK"": 1700.0, ""ZA"": 0.0, ""GCAL"": 8.4, ""QUALI"": 1.6769104600000002}]]}"
204,204,knoblauchzehe geschält,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gesch\u00e4lt""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""5.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""knoblauchzehe"", ""erkannteZutat"": ""Knoblauch""}, {""ZF"": 6.0, ""ZE"": 302.5, ""ZK"": 1420.5, ""ZA"": 0.0, ""GCAL"": 7.1, ""QUALI"": 99999.0}]]}"
205,205,rapsöl,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.005,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""rapsol"", ""erkannteZutat"": ""R\u00fcb\u00f6l (Raps\u00f6l)""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.35420046000000005}]]}"
206,206,paprikaschote rot - sehrgroß  ca    g,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""sehr gro\u00df""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""paprikaschote - sehrgross"", ""erkannteZutat"": ""Paprikaschoten roh""}, {""ZF"": 2.4, ""ZE"": 10.8, ""ZK"": 29.1, ""ZA"": 0.0, ""GCAL"": 0.19, ""QUALI"": 1.4210004600000001}]]}"
