Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition,status,prompt_used,recognized_name
129,butterschmalz,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Butterschmalz""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""butterschmalz"", ""erkannteZutat"": ""Butterschmalz""}, {""ZF"": 9950.0, ""ZE"": 25.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 88.0, ""QUALI"": 99999.0}]]}",ok,0.015 liter Butterschmalz,butterschmalz
130,paprika gelb,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""gelb""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""0.5g"", ""einheit"": ""g"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 65.0, ""ZE"": 74.0, ""ZK"": 174.5, ""ZA"": 0.0, ""GCAL"": 1.585, ""QUALI"": 0.7765804600000002}]]}",ok,0.5 g paprika gelb,paprika
131,paprika rot,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""0.5g"", ""einheit"": ""g"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 65.0, ""ZE"": 74.0, ""ZK"": 174.5, ""ZA"": 0.0, ""GCAL"": 1.585, ""QUALI"": 0.7765804600000002}]]}",ok,0.5 g paprika rot,paprika
132,bacon-scheiben,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bacon"", ""eigenschaft"": ""geschnitten""}",4.0,stück,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""bacon"", ""erkannteZutat"": ""Schwein Bauch""}, {""ZF"": 42200.0, ""ZE"": 35600.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 518.0, ""QUALI"": 2.41289046}]]}",ok,4.0 stück Bacon,bacon
133,gorgonzola,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Gorgonzola""}",80.0,g,"{""detailed_info"": [[{""menge"": ""80.0g"", ""einheit"": ""g"", ""bezeichnung"": ""gorgonzola"", ""erkannteZutat"": ""Gorgonzola""}, {""ZF"": 24960.0, ""ZE"": 15520.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 284.8, ""QUALI"": 99999.0}]]}",ok,80.0 g Gorgonzola,gorgonzola
134,st  agur,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Gurke"", ""eigenschaft"": ""stark""}",50.0,g,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""g"", ""bezeichnung"": ""gurke"", ""erkannteZutat"": ""Gurke""}, {""ZF"": 100.0, ""ZE"": 300.0, ""ZK"": 905.0, ""ZA"": 0.0, ""GCAL"": 6.0, ""QUALI"": 99999.0}]]}",ok,50.0 g Gurke,gurke
135,frühlingszwiebel,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""fruhlingszwiebel"", ""erkannteZutat"": ""Lauchzwiebel roh""}, {""ZF"": 180.0, ""ZE"": 540.0, ""ZK"": 5100.0, ""ZA"": 0.0, ""GCAL"": 25.2, ""QUALI"": 1.6769104600000002}]]}",ok,2.0 stück Frühlingszwiebel,fruhlingszwiebel
136,möhren,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}",400.0,g,"{""detailed_info"": [[{""menge"": ""400.0g"", ""einheit"": ""g"", ""bezeichnung"": ""mohre"", ""erkannteZutat"": ""Karotte (Mohrrübe, Möhre) roh""}, {""ZF"": 720.0, ""ZE"": 3360.0, ""ZK"": 27196.0, ""ZA"": 0.0, ""GCAL"": 132.0, ""QUALI"": -1.64410954}]]}",ok,400.0 g Möhre,mohre
137,paprika rot,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 65000.0, ""ZE"": 74000.0, ""ZK"": 174500.0, ""ZA"": 0.0, ""GCAL"": 1585.0, ""QUALI"": 0.7765804600000002}]]}",ok,500.0 g Paprika,paprika
138,kohlrabi frisch,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}",300.0,g,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""g"", ""bezeichnung"": ""kohlrabi"", ""erkannteZutat"": ""Kohlrabi roh""}, {""ZF"": 480.0, ""ZE"": 5820.0, ""ZK"": 11100.0, ""ZA"": 0.0, ""GCAL"": 75.0, ""QUALI"": 1.3953504600000002}]]}",ok,300.0 g Kohlrabi,kohlrabi
139,staudensellerie,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Staudensellerie""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""80.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""staudensellerie"", ""erkannteZutat"": ""Bleichsellerie roh""}, {""ZF"": 160.0, ""ZE"": 960.0, ""ZK"": 1744.0, ""ZA"": 0.0, ""GCAL"": 13.6, ""QUALI"": 1.8176904600000001}]]}",ok,1.0 stück Staudensellerie,staudensellerie
140,wasser,0.75 liter,"{""volumen"": 0.75, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kalt""}",0.75,liter,"{""detailed_info"": [[{""menge"": ""750.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}",ok,0.75 liter Wasser,wasser
141,chilisoße  sambal oelek ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Chilisauce"", ""eigenschaft"": ""Sambal Oelek""}",0.005,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""chilisauce"", ""erkannteZutat"": ""Chilisoßen""}, {""ZF"": 250.7, ""ZE"": 640.8, ""ZK"": 2236.8, ""ZA"": 0.0, ""GCAL"": 14.1, ""QUALI"": 1.40368046}]]}",ok,0.005 liter Chilisauce,chilisauce
143,hackfleisch gemischt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""hackfleisch"", ""erkannteZutat"": ""Schwein/Rind Hackfleisch roh""}, {""ZF"": 88180.0, ""ZE"": 94380.0, ""ZK"": 180.0, ""ZA"": 0.0, ""GCAL"": 1165.0, ""QUALI"": 1.7885304600000003}]]}",ok,500.0 g Hackfleisch,hackfleisch
144,brötchen alt  in milcheingeweicht,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Br\u00f6tchen"", ""eigenschaft"": ""eingeweicht""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""brotchen"", ""erkannteZutat"": ""Brötchen""}, {""ZF"": 1086.0, ""ZE"": 6054.0, ""ZK"": 33516.0, ""ZA"": 0.0, ""GCAL"": 170.4, ""QUALI"": 0.87896046}]]}",ok,1.0 stück Brötchen,brotchen
145,zwiebel fein gewürfelt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}",ok,1.0 stück Zwiebel,zwiebel
146,knoblauchzehe zerdrückt,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""zerdr\u00fcckt""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""knoblauchzehe"", ""erkannteZutat"": ""Knoblauch""}, {""ZF"": 12.0, ""ZE"": 605.0, ""ZK"": 2841.0, ""ZA"": 0.0, ""GCAL"": 14.2, ""QUALI"": 99999.0}]]}",ok,2.0 stück Knoblauchzehe,knoblauchzehe
147,ei,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""ganz""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""Hühnerei""}, {""ZF"": 4660.0, ""ZE"": 5925.0, ""ZK"": 765.0, ""ZA"": 0.0, ""GCAL"": 68.5, ""QUALI"": 99999.0}]]}",ok,1.0 stück Ei,ei
148,bratwurst grob,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bratwurst"", ""eigenschaft"": ""grob""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""bratwurst"", ""erkannteZutat"": ""Rostbratwurst""}, {""ZF"": 294.88, ""ZE"": 165.12, ""ZK"": 2.7, ""ZA"": 0.0, ""GCAL"": 3.29, ""QUALI"": 1.03894046}]]}",ok,1.0 g bratwurst grob,bratwurst
149,camembert,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Camembert""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""camembert"", ""erkannteZutat"": ""Camembert""}, {""ZF"": 223.01, ""ZE"": 210.0, ""ZK"": 1.02, ""ZA"": 0.0, ""GCAL"": 2.84, ""QUALI"": 99999.0}]]}",ok,1.0 g camembert,camembert
150,paprikaschote frisch,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""frisch""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""70.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""paprikaschote"", ""erkannteZutat"": ""Paprikaschoten roh""}, {""ZF"": 168.0, ""ZE"": 756.0, ""ZK"": 2037.0, ""ZA"": 0.0, ""GCAL"": 13.3, ""QUALI"": 1.4210004600000001}]]}",ok,0.5 stück Paprikaschote,paprikaschote
151,frühstücksspeck,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""fr\u00fchst\u00fccksspeck""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""speck"", ""erkannteZutat"": ""Schwein Speck roh geräuchert""}, {""ZF"": 28891.0, ""ZE"": 15970.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 320.0, ""QUALI"": 99999.0}]]}",ok,100.0 g Speck,speck
152,gehacktes,1000 g,"{""gewicht"": 1000, ""einheit"": ""g""}","{""zutat"": ""Hack"", ""eigenschaft"": ""gehackt""}",1000.0,g,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""g"", ""bezeichnung"": ""hack"", ""erkannteZutat"": ""Hacksteak""}, {""ZF"": 153380.0, ""ZE"": 153990.0, ""ZK"": 9950.0, ""ZA"": 0.0, ""GCAL"": 2020.0, ""QUALI"": 0.5654104600000001}]]}",ok,1000.0 g Hack,hack
153,spinat,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Spinat""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""spinat"", ""erkannteZutat"": ""Spinat roh""}, {""ZF"": 1500.0, ""ZE"": 14070.0, ""ZK"": 3050.0, ""ZA"": 0.0, ""GCAL"": 95.0, ""QUALI"": 1.25457046}]]}",ok,500.0 g Spinat,spinat
154,sahne,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.15,liter,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 47551.5, ""ZE"": 3540.0, ""ZK"": 4905.0, ""ZA"": 0.0, ""GCAL"": 454.5, ""QUALI"": 99999.0}]]}",ok,0.15 liter Sahne,sahne
156,zwiebel gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gehackt""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}",ok,1.0 stück Zwiebel,zwiebel
157,paprika,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 130.0, ""ZE"": 148.0, ""ZK"": 349.0, ""ZA"": 0.0, ""GCAL"": 3.17, ""QUALI"": 0.7765804600000002}]]}",ok,1.0 g paprika,paprika
159,tomaten frisch,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",4.0,stück,"{""detailed_info"": [[{""menge"": ""240.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""tomate"", ""erkannteZutat"": ""Tomaten""}, {""ZF"": 504.0, ""ZE"": 2280.0, ""ZK"": 6240.0, ""ZA"": 0.0, ""GCAL"": 40.8, ""QUALI"": 1.1925104600000003}]]}",ok,4.0 stück Tomate,tomate
160,apfelessig,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Apfel""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""essig"", ""erkannteZutat"": ""Essig""}, {""ZF"": 0.0, ""ZE"": 40.0, ""ZK"": 60.0, ""ZA"": 0.0, ""GCAL"": 1.9, ""QUALI"": 99999.0}]]}",ok,0.015 liter Essig,essig
161,olivenöl extra vergine,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""ol"", ""erkannteZutat"": ""Sonnenblumenöl""}, {""ZF"": 10000.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 88.4, ""QUALI"": 99999.0}]]}",ok,0.015 liter Öl,ol
162,blätterteig rolle,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Bl\u00e4tterteig"", ""eigenschaft"": ""gerollt""}",300.0,g,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""g"", ""bezeichnung"": ""blatterteig"", ""erkannteZutat"": ""Blätterteig roh""}, {""ZF"": 97131.0, ""ZE"": 12357.0, ""ZK"": 86466.0, ""ZA"": 0.0, ""GCAL"": 1260.0, ""QUALI"": 0.8258904600000001}]]}",ok,300.0 g Blätterteig,blatterteig
163,zwiebel frisch,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1000.0,g,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""g"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 2500.0, ""ZE"": 11770.0, ""ZK"": 49210.0, ""ZA"": 0.0, ""GCAL"": 280.0, ""QUALI"": 99999.0}]]}",ok,1000.0 g Zwiebel,zwiebel
164,katenschinken feingewürfelt,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""fein gew\u00fcrfelt""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""schinken"", ""erkannteZutat"": ""Schwein Schinkenspeck""}, {""ZF"": 11602.5, ""ZE"": 31068.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 228.0, ""QUALI"": 1.6148104600000002}]]}",ok,150.0 g Schinken,schinken
165,butterschmalz,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Butterschmalz""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""butterschmalz"", ""erkannteZutat"": ""Butterschmalz""}, {""ZF"": 29850.0, ""ZE"": 75.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 264.0, ""QUALI"": 99999.0}]]}",ok,0.03 liter Butterschmalz,butterschmalz
166,schmand,2 becher,"{""anzahl"": 2, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}",0.5,liter,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""schmand"", ""erkannteZutat"": ""Creme/Schmand""}, {""ZF"": 150005.0, ""ZE"": 12500.0, ""ZK"": 12000.0, ""ZA"": 0.0, ""GCAL"": 1440.0, ""QUALI"": 0.8597204600000001}]]}",ok,0.5 liter Schmand,schmand
167,saure sahne     fett,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",0.25,liter,"{""detailed_info"": [[{""menge"": ""250.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 79252.5, ""ZE"": 5900.0, ""ZK"": 8175.0, ""ZA"": 0.0, ""GCAL"": 757.5, ""QUALI"": 99999.0}]]}",ok,0.25 liter Sahne,sahne
168,eier,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""St\u00fcck""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""Hühnerei""}, {""ZF"": 9320.0, ""ZE"": 11850.0, ""ZK"": 1530.0, ""ZA"": 0.0, ""GCAL"": 137.0, ""QUALI"": 99999.0}]]}",ok,2.0 stück Ei,ei
169,speisestärke,2 el (gestrichen),"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Speisest\u00e4rke"", ""eigenschaft"": ""gestrichen""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""speisestarke"", ""erkannteZutat"": ""Stärke""}, {""ZF"": 24.0, ""ZE"": 129.3, ""ZK"": 25770.0, ""ZA"": 0.0, ""GCAL"": 105.3, ""QUALI"": 99999.0}]]}",ok,0.03 liter Speisestärke,speisestarke
170,milch,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}",0.1,liter,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""milch"", ""erkannteZutat"": ""Kuhmilch""}, {""ZF"": 3569.0, ""ZE"": 3382.0, ""ZK"": 4700.0, ""ZA"": 0.0, ""GCAL"": 65.0, ""QUALI"": 99999.0}]]}",ok,0.1 liter Milch,milch
171,karotten in scheibengeschnitten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""in Scheiben geschnitten""}",4.0,stück,"{""detailed_info"": [[{""menge"": ""4.0g"", ""einheit"": ""g"", ""bezeichnung"": ""karotten in scheibengeschnitten"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 3.04, ""ZE"": 12.6, ""ZK"": 95.0, ""ZA"": 0.0, ""GCAL"": 0.48, ""QUALI"": 0.39260045999999993}]]}",ok,4.0 g karotten in scheibengeschnitten,karotten in scheibengeschnitten
172,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",0.5,liter,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}",ok,0.5 liter Wasser,wasser
173,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 998000.0, ""ZA"": 0.0, ""GCAL"": 4050.0, ""QUALI"": 99999.0}]]}",ok,0.0005 liter Zucker,zucker
174,zucchini,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}",3.0,stück,"{""detailed_info"": [[{""menge"": ""525.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zucchini"", ""erkannteZutat"": ""Zucchini roh""}, {""ZF"": 1506.75, ""ZE"": 10657.5, ""ZK"": 11838.75, ""ZA"": 0.0, ""GCAL"": 110.25, ""QUALI"": 1.3953504600000002}]]}",ok,3.0 stück Zucchini,zucchini
175,zwiebel rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}",ok,1.0 stück Zwiebel,zwiebel
176,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",0.5,liter,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}",ok,0.5 liter Wasser,wasser
177,garnelen frisch groß,2 päckchen,"{""anzahl"": 2, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Garnele"", ""eigenschaft"": ""gro\u00df""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""garnele"", ""erkannteZutat"": ""Garnele roh""}, {""ZF"": 431.7, ""ZE"": 5580.0, ""ZK"": 273.0, ""ZA"": 0.0, ""GCAL"": 27.6, ""QUALI"": 1.32496046}]]}",ok,2.0 stück Garnele,garnele
178,brötchen-weizenbrötchen,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Br\u00f6tchen"", ""eigenschaft"": ""Weizen""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""120.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""brotchen"", ""erkannteZutat"": ""Brötchen""}, {""ZF"": 2172.0, ""ZE"": 12108.0, ""ZK"": 67032.0, ""ZA"": 0.0, ""GCAL"": 340.8, ""QUALI"": 0.87896046}]]}",ok,2.0 stück Brötchen,brotchen
179,zwiebel frisch,70 g,"{""gewicht"": 70, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",70.0,g,"{""detailed_info"": [[{""menge"": ""70.0g"", ""einheit"": ""g"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 175.0, ""ZE"": 823.9, ""ZK"": 3444.7, ""ZA"": 0.0, ""GCAL"": 19.6, ""QUALI"": 99999.0}]]}",ok,70.0 g Zwiebel,zwiebel
180,essiggurken,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Essiggurke""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""essiggurken"", ""erkannteZutat"": ""Gewürzgurken Sauerkonserve gekocht""}, {""ZF"": 1.53, ""ZE"": 10.59, ""ZK"": 26.18, ""ZA"": 0.0, ""GCAL"": 0.19, ""QUALI"": 2.1586904600000008}]]}",ok,1.0 g essiggurken,essiggurken
182,ei,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""Hühnerei""}, {""ZF"": 4660.0, ""ZE"": 5925.0, ""ZK"": 765.0, ""ZA"": 0.0, ""GCAL"": 68.5, ""QUALI"": 99999.0}]]}",ok,1.0 stück Ei,ei
183,saure sahne     fett,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 9510.3, ""ZE"": 708.0, ""ZK"": 981.0, ""ZA"": 0.0, ""GCAL"": 90.9, ""QUALI"": 99999.0}]]}",ok,0.03 liter Sahne,sahne
184,gouda mittelalt     scheibenohne rinde,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Gouda"", ""eigenschaft"": ""ohne Rinde""}",60.0,g,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""g"", ""bezeichnung"": ""gouda"", ""erkannteZutat"": ""Gouda""}, {""ZF"": 18477.0, ""ZE"": 13116.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 218.4, ""QUALI"": 99999.0}]]}",ok,60.0 g Gouda,gouda
