,ingredient,amount,ingr_annotation,amount_annotation
181,bratwurstbrät,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Bratwurstbr\u00e4t""}"
182,ei,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei""}"
183,saure sahne     fett,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}"
184,gouda mittelalt     scheibenohne rinde,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Gouda"", ""eigenschaft"": ""ohne Rinde""}"
185,tomaten frisch,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}"
186,couscous,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Couscous""}"
187,feta gewürfelt,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Feta"", ""eigenschaft"": ""gew\u00fcrfelt""}"
188,gemüsebrühe,120 ml,"{""volumen"": 120, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}"
189,emmentaler,2 scheibe,"{""anzahl"": 2, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Emmentaler""}"
190,gurke frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Gurke"", ""eigenschaft"": ""frisch""}"
191,thunfisch salat mexikana,2 dosen,"{""anzahl"": 2, ""einheit"": ""dosen""}","{""zutat"": ""Dose"", ""eigenschaft"": ""mexikanisch""}"
192,blattspinat frisch,2 tasse,"{""anzahl"": 2, ""einheit"": ""tasse""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""frisch""}"
193,ei gekocht,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck"", ""zutat"": ""ei""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gekocht""}"
194,katenschinken feingewürfelt oderschinkenspeck,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""feingew\u00fcrfelt""}"
195,rapsöl,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
196,olivenöl extra vergine,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}"
197,balsamico bianco,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}"
198,senf mittelscharf,0.25 tl,"{""anzahl"": 0.25, ""einheit"": ""tl""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}"
199,zucker,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""Zucker""}"
200,langkornreis,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Reis"", ""eigenschaft"": ""langk\u00f6rnig""}"
201,gemüsebrühe,125 ml,"{""volumen"": 125, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}"
202,karotte gelb,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gelb""}"
203,frühlingszwiebel - dasgrüne,20 g,"{""gewicht"": 20, ""einheit"": ""g""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}"
204,knoblauchzehe geschält,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gesch\u00e4lt""}"
205,rapsöl,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
206,paprikaschote rot - sehrgroß  ca    g,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""sehr gro\u00df""}"
207,gemüsebrühe,120 ml,"{""volumen"": 120, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gem\u00fcse""}"
208,sahne,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}"
209,speisestärke,5 g,"{""gewicht"": 5, ""einheit"": ""g""}","{""zutat"": ""Speisest\u00e4rke""}"
210,tomaten frisch,3 stück,"{""anzahl"": 3, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}"
211,schmand,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Schmand""}"
212,sahnemeerrettich,5 tl,"{""anzahl"": 5, ""einheit"": ""tl""}","{""zutat"": ""Meerrettich"", ""eigenschaft"": ""sahnig""}"
213,zitronensaft frisch gepresst,1 ½ el,"{""volumen"": ""1 \u00bd"", ""einheit"": ""el""}","{""zutat"": ""Zitronensaft"", ""eigenschaft"": ""gepresst""}"
214,hackfleisch gemischt,380 g,"{""gewicht"": 380, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}"
215,ei größe l,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gro\u00df""}"
216,magerquark im siebabgetropft,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Quark"", ""eigenschaft"": ""abgetropft""}"
217,roher schinken,4 scheibe,"{""anzahl"": 4, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""roh""}"
218,essiggurken,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Essiggurke"", ""eigenschaft"": ""saure""}"
219,rapsöl zum braten,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}"
220,zwiebel frisch gewürfelt,1 ½ stück,"{""anzahl"": 1.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
221,senf,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Senf""}"
222,rinderfond,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""Rinderfond""}"
223,sauerrahm,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sauerrahm""}"
224,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
225,rucola,125 g,"{""gewicht"": 125, ""einheit"": ""g""}","{""zutat"": ""Rucola""}"
226,olivenöl,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}"
227,pinienkerne,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Pinienkern"", ""eigenschaft"": ""50 g""}"
228,kräuter der provence,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kr\u00e4uter"", ""eigenschaft"": ""aus Provence""}"
229,parmesan frisch gerieben,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}"
230,gurkenessig,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Gurken""}"
231,traubenzucker,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Traubenzucker""}"
232,rapsöl,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}"
233,kräuter der provence,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kr\u00e4uter"", ""eigenschaft"": ""provenzalisch""}"
234,salatgurke,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Salatgurke""}"
235,zucker,2 el (gestrichen),"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""gestrichen""}"
236,wasser,250 ml,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
237,branntweinessig,6 el,"{""volumen"": 6, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Branntwein-""}"
238,salz und pfeffer,etwas,"{""anzahl"": ""etwas"", ""einheit"": ""Prise"", ""typ"": ""salz""}","{""zutat"": ""Salz""}"
239,blumenkohl frisch,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}"
240,mehl,4 el,"{""anzahl"": 4, ""einheit"": ""el""}","{""zutat"": ""Mehl""}"
241,eier,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""frisch""}"
242,bier hell,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Bier"", ""eigenschaft"": ""hell""}"
243,quark,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Quark""}"
244,vanillezucker,15 g,"{""gewicht"": 15, ""einheit"": ""g""}","{""zutat"": ""Vanillezucker""}"
245,sahne oder milch,80 ml,"{""volumen"": 80, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}"
246,sehr große erdbeeren,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Erdbeere"", ""eigenschaft"": ""gro\u00df""}"
247,bisquits rund,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bisquit"", ""eigenschaft"": ""rund""}"
248,zucchini,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Zucchini""}"
249,preiselbeeren aus dem glas,45 g,"{""gewicht"": 45, ""einheit"": ""g""}","{""zutat"": ""Preiselbeere"", ""eigenschaft"": ""aus dem Glas""}"
250,wasser,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Wasser""}"
251,olivenöl,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}"
252,camembert,35 g,"{""gewicht"": 35, ""einheit"": ""g""}","{""zutat"": ""Camembert""}"
253,schnittlauch,2 lange stengel,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""St\u00e4ngel"", ""eigenschaft"": ""lang""}"
254,baby spinat,70 g,"{""gewicht"": 70, ""einheit"": ""g""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""baby""}"
255,frühlingszwiebel frisch geschnitten,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""geschnitten""}"
256,spargelstangen weiß,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Spargelstange"", ""eigenschaft"": ""wei\u00df""}"
257,zitronensaft,1 schuss,"{""volumen"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Zitronensaft"", ""eigenschaft"": ""Schuss""}"
258,zwiebel gewürfelt,0.75 stk.,"{""anzahl"": 0.75, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
259,speck durchwachsen,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""durchwachsen""}"
260,putengeschnetzeltes,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Geschnetzeltes"", ""eigenschaft"": ""Puten-""}"
261,radieschen,5 stk.,"{""anzahl"": 5, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen""}"
262,senf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf""}"
263,zwiebel gewürfelt,0.25 stk.,"{""anzahl"": 0.25, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
264,salz und pfeffer,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}"
265,essig,1 bestecklöffel,"{""volumen"": 1, ""einheit"": ""besteckl\u00f6ffel""}","{""zutat"": ""Essig""}"
266,rapsöl,2 bestecklöffel,"{""anzahl"": 2, ""einheit"": ""besteckl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
267,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
268,himbeeren frisch,0.5 päckchen,"{""anzahl"": 0.5, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Himbeere"", ""eigenschaft"": ""frisch""}"
269,tatar frisch,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Tatar"", ""eigenschaft"": ""frisch""}"
270,taco-gewürzmischung,2 tl,"{""anzahl"": 2, ""einheit"": ""tl""}","{""zutat"": ""Gew\u00fcrzmischung"", ""eigenschaft"": ""Taco""}"
271,rapsöl,4 tl,"{""volumen"": 4, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
272,tomaten passiert,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""passiert""}"
273,maiskörner aus der dose,4 el,"{""anzahl"": 4, ""einheit"": ""el""}","{""zutat"": ""Maisk\u00f6rner"", ""eigenschaft"": ""aus der Dose""}"
274,kidney-bohnen konserve,4 el,"{""anzahl"": 4, ""einheit"": ""el""}","{""zutat"": ""Bohne"", ""eigenschaft"": ""Kidney""}"
275,eisbergsalat,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Eisbergsalat""}"
276,tomaten frisch,4,"{""anzahl"": 4, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}"
277,käse gerieben,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""gerieben""}"
278,saure sahne     fett,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}"
279,salsa-sauce,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""Salsa-Sauce""}"
280,naturjoghurt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Joghurt"", ""eigenschaft"": ""natur""}"
281,magerquark,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Quark"", ""eigenschaft"": ""mager""}"
282,äpfel,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Apfel""}"
283,walnüsse gehackt,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""Walnuss"", ""eigenschaft"": ""gehackt""}"
284,rettich frisch  mild,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Rettich"", ""eigenschaft"": ""mild""}"
285,paprika rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}"
286,apfel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Apfel""}"
287,lauch,1 stange,"{""anzahl"": 1, ""einheit"": ""stange""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""Stange""}"
288,kürbiskerne,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Kern"", ""eigenschaft"": ""K\u00fcrbis""}"
289,rapsöl,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}"
290,putenbrust geräuchertaufschnitt,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Putenbrust"", ""eigenschaft"": ""ger\u00e4uchert""}"
291,eiweißbrot,2 scheiben,"{""anzahl"": 2, ""einheit"": ""scheiben""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Eiwei\u00df""}"
292,hühnerbrüste à   g,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""H\u00fchnerbrust""}"
293,rapsöl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
294,orange,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Orange""}"
295,zitrone,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone""}"
296,staudensellerie,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Staudensellerie""}"
297,zwiebel rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}"
298,minze frisch,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Minze"", ""eigenschaft"": ""frisch""}"
299,basilikum,0.5 bund,"{""anzahl"": 0.5, ""einheit"": ""bund""}","{""zutat"": ""Basilikum""}"
300,schafskäse,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Schafk\u00e4se""}"
301,zucchini frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""frisch""}"
302,karotte,90 g,"{""gewicht"": 90, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""neunzig""}"
303,frühlingszwiebel frisch geschnitten,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""geschnitten""}"
304,zwiebel rot  gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
305,putenbrust,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Putenbrust""}"
306,tomatenmark dreifachkonzentriert,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}"
307,ebly,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Ebly""}"
308,rapsöl,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Raps\u00f6l""}"
309,sojasoße dunkel,1 schuss,"{""volumen"": 1, ""einheit"": ""Schuss""}","{""zutat"": ""So\u00dfe"", ""eigenschaft"": ""dunkel""}"
310,gemüsebrühe,350 ml,"{""volumen"": 350, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gem\u00fcse""}"
311,paprika edelsüß,0.5 teelöffel,"{""anzahl"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""edels\u00fc\u00df""}"
312,topinambur frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Topinambur"", ""eigenschaft"": ""frisch""}"
313,kartoffeln,350 g,"{""gewicht"": 350, ""einheit"": ""g""}","{""zutat"": ""Kartoffel""}"
314,kleine petersilienwurzel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Petersilienwurzel"", ""eigenschaft"": ""klein""}"
315,curry,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Curry""}"
316,zitronensaft frisch gepresst,1 spritzer,"{""volumen"": ""1"", ""einheit"": ""spritzer""}","{""zutat"": ""Zitronensaft"", ""eigenschaft"": ""gepresst""}"
317,agavensirup,2 tropfen,"{""anzahl"": 2, ""einheit"": ""tropfen""}","{""zutat"": ""Tropfen"", ""eigenschaft"": ""Agavensirup""}"
318,gemüsebrühe,750 ml,"{""volumen"": 750, ""einheit"": ""ml""}","{""zutat"": ""Br\u00fche"", ""eigenschaft"": ""gem\u00fcse""}"
319,sojasahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""Sojasahne""}"
320,margarine pflanzlich,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Margarine"", ""eigenschaft"": ""pflanzlich""}"
321,vollkornnudeln,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Nudel"", ""eigenschaft"": ""vollkorn""}"
322,tomate frisch,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}"
323,oliven,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Olive"", ""eigenschaft"": ""oliv""}"
324,mascarpone,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Mascarpone""}"
325,gemüsebrühe,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}"
326,kräuter  petersilie schnittlauch  basilikum ,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Kraut"", ""eigenschaft"": ""geschnitten""}"
327,rucola,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Rucola""}"
328,parmesan gerieben,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}"
329,baby spinat,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""baby""}"
330,rucola,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Rucola""}"
331,mangoldblätter rot,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Mangoldblatt"", ""eigenschaft"": ""rot""}"
332,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
333,radieschen,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen""}"
334,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
335,senf mittelscharf,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}"
336,weinessig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}"
337,rapsöl,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
338,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
339,karotten,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Karotte""}"
340,zwiebel  entspricht  mittelgroßen,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""mittelgro\u00df""}"
341,knoblauchzehen  ca    -  g,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe""}"
342,butter,125 g,"{""gewicht"": 125, ""einheit"": ""g""}","{""zutat"": ""Butter""}"
343,tomatenmark,140 g,"{""gewicht"": 140, ""einheit"": ""g""}","{""zutat"": ""Tomatenmark""}"
344,olivenöl extra vergine entspricht   el,10 g,"{""gewicht"": 10, ""einheit"": ""g""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Oliven-""}"
345,oregano,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Oregano""}"
346,thymian,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Thymian""}"
347,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
348,aalrauchschinken aufschnitt,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""Aalrauch""}"
349,hühnerbrust aufschnitt,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""H\u00fchnerbrust"", ""eigenschaft"": ""aufgeschnitten""}"
350,tomatenpüree,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenp\u00fcree""}"
351,sellerieknolle grobgewürfelt,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Sellerieknolle"", ""eigenschaft"": ""grob""}"
352,senf mittelscharf,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}"
353,schalotten  gewürfelt,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Schalotte"", ""eigenschaft"": ""gew\u00fcrfelt""}"
354,bärlauch frisch,6 blätter,"{""anzahl"": 6, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Blatt"", ""eigenschaft"": ""frisch""}"
355,dill frisch,1 stiel,"{""anzahl"": 1, ""einheit"": ""stiel""}","{""zutat"": ""Dill"", ""eigenschaft"": ""frisch""}"
356,blattpetersilienstielefrisch,2 stiel,"{""anzahl"": 2, ""einheit"": ""Stiel""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""frisch""}"
357,pfeffer aus der mühle,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""pfeffer""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""aus der M\u00fchle""}"
358,himalayasalz,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""himalayasalz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""himalaya""}"
359,oliven gefüllt  inscheibchen geschnitten,3 stück,"{""anzahl"": 3, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Olive"", ""eigenschaft"": ""geschnitten""}"
360,kondensmilch,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Milch"", ""eigenschaft"": ""kondensiert""}"
361,rüböl  rapsöl ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""R\u00fcb-""}"
362,crema di balsamico,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Creme"", ""eigenschaft"": ""balsamico""}"
363,mu-err-pilze  getrocknet kleingebröselt,5 g,"{""gewicht"": 5, ""einheit"": ""g""}","{""zutat"": ""Pilz"", ""eigenschaft"": ""kleingebr\u00f6selt""}"
364,shii-take-pilze  getrocknet kleingebröselt,5 g,"{""gewicht"": 5, ""einheit"": ""g""}","{""zutat"": ""Pilz"", ""eigenschaft"": ""kleingebro\u0308selt""}"
365,glasnudeln,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Glasnudel"", ""eigenschaft"": ""gl\u00e4sern""}"
366,salz,8 g,"{""gewicht"": 8, ""einheit"": ""g""}","{""zutat"": ""Salz""}"
