Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit
169,speisestärke,2 el (gestrichen),"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Speisest\u00e4rke"", ""eigenschaft"": ""gestrichen""}",0.03,liter
170,milch,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}",0.1,liter
171,karotten in scheibengeschnitten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""in Scheiben geschnitten""}",4.0,stück
172,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",0.5,liter
173,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
174,zucchini,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}",3.0,stück
175,zwiebel rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}",1.0,stück
176,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",0.5,liter
177,garnelen frisch groß,2 päckchen,"{""anzahl"": 2, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Garnele"", ""eigenschaft"": ""gro\u00df""}",2.0,stück
178,brötchen-weizenbrötchen,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Br\u00f6tchen"", ""eigenschaft"": ""Weizen""}",2.0,stück
179,zwiebel frisch,70 g,"{""gewicht"": 70, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",70.0,g
180,essiggurken,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Essiggurke""}",1.0,stück
181,bratwurstbrät,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Bratwurstbr\u00e4t""}",200.0,g
182,ei,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei""}",1.0,stück
183,saure sahne     fett,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",0.03,liter
184,gouda mittelalt     scheibenohne rinde,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Gouda"", ""eigenschaft"": ""ohne Rinde""}",60.0,g
185,tomaten frisch,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",4.0,stück
186,couscous,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Couscous""}",80.0,g
187,feta gewürfelt,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Feta"", ""eigenschaft"": ""gew\u00fcrfelt""}",60.0,g
188,gemüsebrühe,120 ml,"{""volumen"": 120, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}",0.12,liter
189,emmentaler,2 scheibe,"{""anzahl"": 2, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Emmentaler""}",2.0,stück
190,gurke frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Gurke"", ""eigenschaft"": ""frisch""}",1.0,stück
191,thunfisch salat mexikana,2 dosen,"{""anzahl"": 2, ""einheit"": ""dosen""}","{""zutat"": ""Dose"", ""eigenschaft"": ""mexikanisch""}",2.0,stück
192,blattspinat frisch,2 tasse,"{""anzahl"": 2, ""einheit"": ""tasse""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""frisch""}",0.5,liter
193,ei gekocht,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck"", ""zutat"": ""ei""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gekocht""}",1.0,stück
194,katenschinken feingewürfelt oderschinkenspeck,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""feingew\u00fcrfelt""}",60.0,g
195,rapsöl,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.0025,liter
196,olivenöl extra vergine,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.045,liter
197,balsamico bianco,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.03,liter
198,senf mittelscharf,0.25 tl,"{""anzahl"": 0.25, ""einheit"": ""tl""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.00125,liter
199,zucker,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""Zucker""}",0.0025,liter
200,langkornreis,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Reis"", ""eigenschaft"": ""langk\u00f6rnig""}",50.0,g
201,gemüsebrühe,125 ml,"{""volumen"": 125, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}",0.125,liter
202,karotte gelb,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gelb""}",30.0,g
203,frühlingszwiebel - dasgrüne,20 g,"{""gewicht"": 20, ""einheit"": ""g""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}",20.0,g
204,knoblauchzehe geschält,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gesch\u00e4lt""}",1.0,stück
205,rapsöl,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.005,liter
206,paprikaschote rot - sehrgroß  ca    g,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""sehr gro\u00df""}",1.0,stück
207,gemüsebrühe,120 ml,"{""volumen"": 120, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gem\u00fcse""}",0.12,liter
208,sahne,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.05,liter
209,speisestärke,5 g,"{""gewicht"": 5, ""einheit"": ""g""}","{""zutat"": ""Speisest\u00e4rke""}",5.0,g
210,tomaten frisch,3 stück,"{""anzahl"": 3, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",3.0,stück
211,schmand,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Schmand""}",0.03,liter
212,sahnemeerrettich,5 tl,"{""anzahl"": 5, ""einheit"": ""tl""}","{""zutat"": ""Meerrettich"", ""eigenschaft"": ""sahnig""}",0.025,liter
213,zitronensaft frisch gepresst,1 ½ el,"{""volumen"": ""1 \u00bd"", ""einheit"": ""el""}","{""zutat"": ""Zitronensaft"", ""eigenschaft"": ""gepresst""}",0.0225,liter
214,hackfleisch gemischt,380 g,"{""gewicht"": 380, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}",380.0,g
215,ei größe l,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gro\u00df""}",1.0,stück
216,magerquark im siebabgetropft,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Quark"", ""eigenschaft"": ""abgetropft""}",50.0,g
217,roher schinken,4 scheibe,"{""anzahl"": 4, ""einheit"": ""Scheibe""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""roh""}",4.0,stück
218,essiggurken,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Essiggurke"", ""eigenschaft"": ""saure""}",2.0,stück
219,rapsöl zum braten,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.075,liter
220,zwiebel frisch gewürfelt,1 ½ stück,"{""anzahl"": 1.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.5,stück
221,senf,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Senf""}",0.01,liter
222,rinderfond,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""Rinderfond""}",0.075,liter
223,sauerrahm,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sauerrahm""}",0.015,liter
224,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
225,rucola,125 g,"{""gewicht"": 125, ""einheit"": ""g""}","{""zutat"": ""Rucola""}",125.0,g
226,olivenöl,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}",0.05,liter
227,pinienkerne,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Pinienkern"", ""eigenschaft"": ""50 g""}",50.0,g
228,kräuter der provence,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kr\u00e4uter"", ""eigenschaft"": ""aus Provence""}",0.005,liter
229,parmesan frisch gerieben,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}",50.0,g
230,gurkenessig,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Gurken""}",0.06,liter
231,traubenzucker,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Traubenzucker""}",0.015,liter
232,rapsöl,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.06,liter
233,kräuter der provence,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kr\u00e4uter"", ""eigenschaft"": ""provenzalisch""}",0.005,liter
234,salatgurke,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Salatgurke""}",1.0,stück
235,zucker,2 el (gestrichen),"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""gestrichen""}",0.03,liter
236,wasser,250 ml,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",0.25,liter
237,branntweinessig,6 el,"{""volumen"": 6, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Branntwein-""}",0.09,liter
238,salz und pfeffer,etwas,"{""anzahl"": ""etwas"", ""einheit"": ""Prise"", ""typ"": ""salz""}","{""zutat"": ""Salz""}",0.0005,liter
239,blumenkohl frisch,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}",1.0,stück
240,mehl,4 el,"{""anzahl"": 4, ""einheit"": ""el""}","{""zutat"": ""Mehl""}",0.06,liter
241,eier,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""frisch""}",2.0,stück
242,bier hell,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Bier"", ""eigenschaft"": ""hell""}",0.05,liter
243,quark,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Quark""}",200.0,g
244,vanillezucker,15 g,"{""gewicht"": 15, ""einheit"": ""g""}","{""zutat"": ""Vanillezucker""}",15.0,g
245,sahne oder milch,80 ml,"{""volumen"": 80, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.08,liter
246,sehr große erdbeeren,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Erdbeere"", ""eigenschaft"": ""gro\u00df""}",4.0,stück
247,bisquits rund,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bisquit"", ""eigenschaft"": ""rund""}",6.0,stück
248,zucchini,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Zucchini""}",80.0,g
249,preiselbeeren aus dem glas,45 g,"{""gewicht"": 45, ""einheit"": ""g""}","{""zutat"": ""Preiselbeere"", ""eigenschaft"": ""aus dem Glas""}",45.0,g
250,wasser,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Wasser""}",0.015,liter
251,olivenöl,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}",0.005,liter
252,camembert,35 g,"{""gewicht"": 35, ""einheit"": ""g""}","{""zutat"": ""Camembert""}",35.0,g
253,schnittlauch,2 lange stengel,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""St\u00e4ngel"", ""eigenschaft"": ""lang""}",2.0,stück
254,baby spinat,70 g,"{""gewicht"": 70, ""einheit"": ""g""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""baby""}",70.0,g
255,frühlingszwiebel frisch geschnitten,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""geschnitten""}",2.0,stück
256,spargelstangen weiß,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Spargelstange"", ""eigenschaft"": ""wei\u00df""}",2.0,stück
257,zitronensaft,1 schuss,"{""volumen"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Zitronensaft"", ""eigenschaft"": ""Schuss""}",0.02,liter
258,zwiebel gewürfelt,0.75 stk.,"{""anzahl"": 0.75, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.75,stück
259,speck durchwachsen,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""durchwachsen""}",30.0,g
260,putengeschnetzeltes,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Geschnetzeltes"", ""eigenschaft"": ""Puten-""}",200.0,g
261,radieschen,5 stk.,"{""anzahl"": 5, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen""}",5.0,stück
262,senf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf""}",0.005,liter
263,zwiebel gewürfelt,0.25 stk.,"{""anzahl"": 0.25, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.25,stück
264,salz und pfeffer,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}",0.0005,liter
265,essig,1 bestecklöffel,"{""volumen"": 1, ""einheit"": ""besteckl\u00f6ffel""}","{""zutat"": ""Essig""}",0.01,liter
266,rapsöl,2 bestecklöffel,"{""anzahl"": 2, ""einheit"": ""besteckl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.02,liter
267,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
268,himbeeren frisch,0.5 päckchen,"{""anzahl"": 0.5, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Himbeere"", ""eigenschaft"": ""frisch""}",0.5,stück
269,tatar frisch,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Tatar"", ""eigenschaft"": ""frisch""}",300.0,g
270,taco-gewürzmischung,2 tl,"{""anzahl"": 2, ""einheit"": ""tl""}","{""zutat"": ""Gew\u00fcrzmischung"", ""eigenschaft"": ""Taco""}",0.01,liter
271,rapsöl,4 tl,"{""volumen"": 4, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.02,liter
272,tomaten passiert,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""passiert""}",200.0,g
273,maiskörner aus der dose,4 el,"{""anzahl"": 4, ""einheit"": ""el""}","{""zutat"": ""Maisk\u00f6rner"", ""eigenschaft"": ""aus der Dose""}",0.06,liter
274,kidney-bohnen konserve,4 el,"{""anzahl"": 4, ""einheit"": ""el""}","{""zutat"": ""Bohne"", ""eigenschaft"": ""Kidney""}",0.06,liter
275,eisbergsalat,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Eisbergsalat""}",150.0,g
276,tomaten frisch,4,"{""anzahl"": 4, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",4.0,stück
277,käse gerieben,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""gerieben""}",0.06,liter
278,saure sahne     fett,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",0.03,liter
279,salsa-sauce,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""Salsa-Sauce""}",0.06,liter
280,naturjoghurt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Joghurt"", ""eigenschaft"": ""natur""}",500.0,g
281,magerquark,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Quark"", ""eigenschaft"": ""mager""}",250.0,g
282,äpfel,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Apfel""}",2.0,stück
283,walnüsse gehackt,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""Walnuss"", ""eigenschaft"": ""gehackt""}",0.075,liter
284,rettich frisch  mild,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Rettich"", ""eigenschaft"": ""mild""}",500.0,g
285,paprika rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",1.0,stück
286,apfel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Apfel""}",1.0,stück
287,lauch,1 stange,"{""anzahl"": 1, ""einheit"": ""stange""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""Stange""}",1.0,stück
288,kürbiskerne,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Kern"", ""eigenschaft"": ""K\u00fcrbis""}",0.03,liter
289,rapsöl,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.01,liter
290,putenbrust geräuchertaufschnitt,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Putenbrust"", ""eigenschaft"": ""ger\u00e4uchert""}",300.0,g
291,eiweißbrot,2 scheiben,"{""anzahl"": 2, ""einheit"": ""scheiben""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Eiwei\u00df""}",2.0,stück
292,hühnerbrüste à   g,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""H\u00fchnerbrust""}",2.0,stück
293,rapsöl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.03,liter
294,orange,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Orange""}",1.0,stück
295,zitrone,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone""}",1.0,stück
296,staudensellerie,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Staudensellerie""}",300.0,g
297,zwiebel rot,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}",1.0,stück
298,minze frisch,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Minze"", ""eigenschaft"": ""frisch""}",0.03,liter
299,basilikum,0.5 bund,"{""anzahl"": 0.5, ""einheit"": ""bund""}","{""zutat"": ""Basilikum""}",0.5,stück
300,schafskäse,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Schafk\u00e4se""}",200.0,g
301,zucchini frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""frisch""}",0.5,stück
302,karotte,90 g,"{""gewicht"": 90, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""neunzig""}",90.0,g
303,frühlingszwiebel frisch geschnitten,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""geschnitten""}",3.0,stück
304,zwiebel rot  gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
305,putenbrust,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Putenbrust""}",200.0,g
306,tomatenmark dreifachkonzentriert,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.015,liter
307,ebly,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Ebly""}",120.0,g
308,rapsöl,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Raps\u00f6l""}",0.015,liter
309,sojasoße dunkel,1 schuss,"{""volumen"": 1, ""einheit"": ""Schuss""}","{""zutat"": ""So\u00dfe"", ""eigenschaft"": ""dunkel""}",0.02,liter
310,gemüsebrühe,350 ml,"{""volumen"": 350, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gem\u00fcse""}",0.35000000000000003,liter
311,paprika edelsüß,0.5 teelöffel,"{""anzahl"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""edels\u00fc\u00df""}",0.0025,liter
312,topinambur frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Topinambur"", ""eigenschaft"": ""frisch""}",500.0,g
313,kartoffeln,350 g,"{""gewicht"": 350, ""einheit"": ""g""}","{""zutat"": ""Kartoffel""}",350.0,g
314,kleine petersilienwurzel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Petersilienwurzel"", ""eigenschaft"": ""klein""}",1.0,stück
315,curry,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Curry""}",0.01,liter
316,zitronensaft frisch gepresst,1 spritzer,"{""volumen"": ""1"", ""einheit"": ""spritzer""}","{""zutat"": ""Zitronensaft"", ""eigenschaft"": ""gepresst""}",0.002,liter
317,agavensirup,2 tropfen,"{""anzahl"": 2, ""einheit"": ""tropfen""}","{""zutat"": ""Tropfen"", ""eigenschaft"": ""Agavensirup""}",0.0001,liter
318,gemüsebrühe,750 ml,"{""volumen"": 750, ""einheit"": ""ml""}","{""zutat"": ""Br\u00fche"", ""eigenschaft"": ""gem\u00fcse""}",0.75,liter
319,sojasahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""Sojasahne""}",0.1,liter
320,margarine pflanzlich,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Margarine"", ""eigenschaft"": ""pflanzlich""}",0.015,liter
321,vollkornnudeln,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Nudel"", ""eigenschaft"": ""vollkorn""}",60.0,g
322,tomate frisch,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",200.0,g
323,oliven,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Olive"", ""eigenschaft"": ""oliv""}",40.0,g
324,mascarpone,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Mascarpone""}",100.0,g
325,gemüsebrühe,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}",0.15,liter
326,kräuter  petersilie schnittlauch  basilikum ,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Kraut"", ""eigenschaft"": ""geschnitten""}",0.03,liter
327,rucola,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Rucola""}",100.0,g
328,parmesan gerieben,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}",40.0,g
329,baby spinat,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""baby""}",50.0,g
330,rucola,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Rucola""}",30.0,g
331,mangoldblätter rot,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Mangoldblatt"", ""eigenschaft"": ""rot""}",50.0,g
332,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
333,radieschen,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen""}",3.0,stück
334,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
335,senf mittelscharf,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.005,liter
336,weinessig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.03,liter
337,rapsöl,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.06,liter
338,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
339,karotten,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Karotte""}",250.0,g
340,zwiebel  entspricht  mittelgroßen,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""mittelgro\u00df""}",80.0,g
